t,u1,u2,u3,u4,u5,u6,u_norm,e1,e2,e3,e4,e5,e6,e_norm,q1,q2,q3,q4,q5,q6
4.266666666666666941e-01,-1.389810621796752355e-01,-1.906927888650445102e-01,2.467096124964445192e-01,-5.515477135684831306e-02,2.478868711150400785e-04,-1.389834443461551716e-01,3.726977546504847139e-01,-1.104784023248761571e-02,-1.290947044248680342e-02,1.603356812106415674e-02,-7.323992443017957044e-04,-1.587497636013068814e-06,-1.104814903342843380e-02,2.585309489865508098e-02,-1.294541776217425610e+00,-2.513954473531794243e-01,-1.760064350425221802e+00,4.448091442058950129e-01,1.576914576968098558e+00,2.698934325923638688e-01
4.400000000000000022e-01,-1.374664389400563902e-01,-1.767395203205897602e-01,2.291697635681128054e-01,-5.169538581242609510e-02,2.434322638974871652e-04,-1.374688005284321335e-01,3.524525552527115746e-01,-1.103610896040141398e-02,-1.288278540393594795e-02,1.602701935986505788e-02,-7.296259757088030540e-04,-1.542528153208877484e-06,-1.103641743343874992e-02,2.582560892835132627e-02,-1.296394857046488047e+00,-2.539380178713801506e-01,-1.756774888925269229e+00,4.440737472544702413e-01,1.576917882126379844e+00,2.680403200010816889e-01
4.533333333333333659e-01,-1.230420381185705347e-01,-1.532131347314432401e-01,1.990733162325461769e-01,-4.526687360461193604e-02,2.168300934339477219e-04,-1.230441555492611388e-01,3.089219870946167679e-01,-1.102439014529732475e-02,-1.285702995433135598e-02,1.601973195105310666e-02,-7.269981400694902618e-04,-1.500676933385847178e-06,-1.102469829077890040e-02,2.579815322956845181e-02,-1.298227742899022097e+00,-2.562945448089881673e-01,-1.753719292077694281e+00,4.433844754436377933e-01,1.576921127889898244e+00,2.662074026607026411e-01
4.666666666666666741e-01,-1.187555477371906865e-01,-1.220103963610635889e-01,1.588381083600407251e-01,-3.649335444723571242e-02,2.072632572266222019e-04,-1.187575952587555383e-01,2.639207000491849420e-01,-1.101268386216025519e-02,-1.283215029108442096e-02,1.601039631519762807e-02,-7.245066403434030633e-04,-1.461749731035411060e-06,-1.101299168076419477e-02,2.576988503815552667e-02,-1.299868303407269776e+00,-2.583373866054072820e-01,-1.751064981194593750e+00,4.427809171289096568e-01,1.576924018957810425e+00,2.645668139200458846e-01
4.800000000000000377e-01,-1.232332056802747794e-01,-9.700162700004942573e-02,1.265050345804749343e-01,-2.945363627844924809e-02,2.135895181328593755e-04,-1.232353349935064041e-01,2.380205295737490567e-01,-1.100099318057345954e-02,-1.281118464776209720e-02,1.600177611694597601e-02,-7.226150901340488986e-04,-1.435821469275566642e-06,-1.100130067368798592e-02,2.574404655600789557e-02,-1.301451710710432419e+00,-2.599641918902215743e-01,-1.748947139749793100e+00,4.422943390696132404e-01,1.576926782467906740e+00,2.629833793165956557e-01
4.933333333333333459e-01,-1.128229937874054428e-01,-8.384611279812249907e-02,1.094823346665776409e-01,-2.565636507418642132e-02,1.944921443926079445e-04,-1.128249462222981059e-01,2.124460768021653734e-01,-1.098931491552290751e-02,-1.279070955856509428e-02,1.599029754747061105e-02,-7.207985630488522588e-04,-1.411496795000743987e-06,-1.098962208349441028e-02,2.571669214886688690e-02,-1.303094820119502728e+00,-2.612575469168887388e-01,-1.747260405955386675e+00,4.419016239192341544e-01,1.576929630328148590e+00,2.613402415166823367e-01
5.066666666666667096e-01,-8.628572659563124581e-02,-8.233431544393624013e-02,1.075776379862814075e-01,-2.512666977796140788e-02,1.507643688366468344e-04,-8.628652442911349807e-02,1.840485014080437132e-01,-1.097764905404829960e-02,-1.277115778226800558e-02,1.597810335595895026e-02,-7.191226103375747414e-04,-1.390201670226076658e-06,-1.097795589722316834e-02,2.568936923417691059e-02,-1.304599126703334777e+00,-2.623754950875305525e-01,-1.745800641493165717e+00,4.415595390515782981e-01,1.576932223556740453e+00,2.598359089003849931e-01
5.200000000000000178e-01,-4.628572659563123803e-02,-9.239727778351165821e-02,1.207606959222490006e-01,-2.790457821332083602e-02,8.271031363792395383e-05,-4.628652442911349030e-02,1.678805699832504883e-01,-1.094981952530726943e-02,-1.275174504125509145e-02,1.596582353984832281e-02,-7.174673103262918517e-04,-1.369331263489925732e-06,-1.095011648681865069e-02,2.564825301713357514e-02,-1.305749603057943187e+00,-2.634732859601163213e-01,-1.744366272986682009e+00,4.412245167878721119e-01,1.576934233748325198e+00,2.586854219079968153e-01
5.333333333333333259e-01,-6.285726595631237201e-03,-1.109466978760018929e-01,1.450730253492542310e-01,-3.322720970835143367e-02,1.009293788750710282e-05,-6.286524429113485996e-03,1.858451795680405305e-01,-1.092526271752447542e-02,-1.273169560125086974e-02,1.595407912394186667e-02,-7.157145056924107962e-04,-1.346317135109131868e-06,-1.092555912993686817e-02,2.560996232700887831e-02,-1.306366746079218322e+00,-2.647052496638964136e-01,-1.742756130374385259e+00,4.408524557450279602e-01,1.576935336552507394e+00,2.580682682489419122e-01
5.466666666666667451e-01,2.927969184392155422e-02,-1.217322976359437176e-01,1.593240554656666086e-01,-3.639235298602980923e-02,-4.558655882398602780e-05,2.928021156589732249e-02,2.079469728454002853e-01,-1.094502285674892050e-02,-1.271046986239232623e-02,1.594330282562239631e-02,-7.137824144964888262e-04,-1.319382205267061181e-06,-1.094532878988507818e-02,2.560953306567185714e-02,-1.306450555767160182e+00,-2.661845389689099228e-01,-1.740821823369728572e+00,4.404094262822497718e-01,1.576935471125012533e+00,2.579844479232202836e-01
