ref_x,ref_y,ref_z,fk_x,fk_y,fk_z,err_x,err_y,err_z,xy_err,xyz_err
5.725059504645457764e-02,-8.121030783052038959e-01,1.000000000000000056e-01,5.725059504645418212e-02,-8.121030783052017865e-01,1.000000000000000333e-01,-3.955169525227120175e-16,2.109423746787797427e-15,2.775557561562891351e-17,2.146183170944438002e-15,2.146362638330922527e-15
5.916711311284791885e-02,-8.119959960839495672e-01,1.000000000000000056e-01,5.916711311284802294e-02,-8.119959960839500113e-01,9.999999999999986677e-02,1.040834085586084257e-16,-4.440892098500626162e-16,-1.387778780781445676e-16,4.561234287365988095e-16,4.767681634571497757e-16
6.110010554657419046e-02,-8.118532197889437585e-01,1.000000000000000056e-01,6.110010554657452353e-02,-8.118532197889443136e-01,1.000000000000000333e-01,3.330669073875469621e-16,-5.551115123125782702e-16,2.775557561562891351e-17,6.473657049138937517e-16,6.479604369685061501e-16
6.291777740897017135e-02,-8.117818316414409097e-01,1.000000000000000056e-01,6.291777740897022686e-02,-8.117818316414413538e-01,9.999999999999981126e-02,5.551115123125782702e-17,-4.440892098500626162e-16,-1.942890293094023946e-16,4.475452091311809617e-16,4.878984946956307152e-16
6.467504325781223140e-02,-8.119246079364466073e-01,1.000000000000000056e-01,6.467504325781270325e-02,-8.119246079364477175e-01,9.999999999999981126e-02,4.718447854656915297e-16,-1.110223024625156540e-15,-1.942890293094023946e-16,1.206330247477445654e-15,1.221875972793059442e-15
6.645976638554240701e-02,-8.122101605264582247e-01,1.000000000000000056e-01,6.645976638554219884e-02,-8.122101605264573365e-01,1.000000000000000333e-01,-2.081668171172168513e-16,8.881784197001252323e-16,2.775557561562891351e-17,9.122468574731976190e-16,9.126689985681991952e-16
6.818957495549637926e-02,-8.124243249689668822e-01,1.000000000000000056e-01,6.818957495549650416e-02,-8.124243249689669932e-01,1.000000000000000333e-01,1.249000902703301108e-16,-1.110223024625156540e-16,2.775557561562891351e-17,1.671106944322083812e-16,1.693999886994382596e-16
6.978209713100946843e-02,-8.123529368214640334e-01,1.000000000000000056e-01,6.978209713101027334e-02,-8.123529368214661428e-01,9.999999999999981126e-02,8.049116928532384918e-16,-2.109423746787797427e-15,-1.942890293094023946e-16,2.257775758751106724e-15,2.266119944688304728e-15
7.115496107541732784e-02,-8.117818316414409097e-01,1.000000000000000056e-01,7.115496107541731396e-02,-8.117818316414402435e-01,9.999999999999964473e-02,-1.387778780781445676e-17,6.661338147750939243e-16,-3.608224830031758756e-16,6.662783593823664335e-16,7.577068802788021890e-16
7.230816678871990200e-02,-8.105572503419681274e-01,1.000000000000000056e-01,7.230816678871919423e-02,-8.105572503419664621e-01,1.000000000000000333e-01,-7.077671781985372945e-16,1.665334536937734811e-15,2.775557561562891351e-17,1.809495371216168678e-15,1.809708227983310917e-15
7.329662882869358853e-02,-8.088219692180516063e-01,1.000000000000000056e-01,7.329662882869419915e-02,-8.088219692180532716e-01,9.999999999999958922e-02,6.106226635438360972e-16,-1.665334536937734811e-15,-4.163336342344337027e-16,1.773752845565297093e-15,1.821958520972922663e-15
7.412034719533830418e-02,-8.068066269000851998e-01,1.000000000000000056e-01,7.412034719533858174e-02,-8.068066269000860880e-01,9.999999999999975575e-02,2.775557561562891351e-16,-8.881784197001252323e-16,-2.498001805406602216e-16,9.305364597889226895e-16,9.634823471110655417e-16
7.477932188865402119e-02,-8.047418620184629834e-01,1.000000000000000056e-01,7.477932188865371588e-02,-8.047418620184617621e-01,9.999999999999975575e-02,-3.053113317719180486e-16,1.221245327087672194e-15,-2.498001805406602216e-16,1.258830869593615373e-15,1.283376518579003745e-15
7.527355290864090609e-02,-8.028583132035788106e-01,1.000000000000000056e-01,7.527355290864085058e-02,-8.028583132035785885e-01,9.999999999999975575e-02,-5.551115123125782702e-17,2.220446049250313081e-16,-2.498001805406602216e-16,2.288783399261118726e-16,3.387999773988765192e-16
7.553714278596720955e-02,-8.011669632473563674e-01,1.000000000000000056e-01,7.553714278596783405e-02,-8.011669632473583658e-01,9.999999999999964473e-02,6.245004513516505540e-16,-1.998401444325281773e-15,-3.608224830031758756e-16,2.093707034525075756e-15,2.124571018031726115e-15
7.557009152063298707e-02,-7.995140530628661590e-01,1.000000000000000056e-01,7.557009152063319524e-02,-7.995140530628662701e-01,9.999999999999964473e-02,2.081668171172168513e-16,-1.110223024625156540e-16,-3.608224830031758756e-16,2.359223927328457648e-16,4.311058334485492088e-16
7.547124531663562674e-02,-7.978831084622231007e-01,1.000000000000000056e-01,7.547124531663604308e-02,-7.978831084622242109e-01,9.999999999999986677e-02,4.163336342344337027e-16,-1.110223024625156540e-15,-1.387778780781445676e-16,1.185718710066886829e-15,1.193812447098184152e-15
7.533945037797246114e-02,-7.962576552575417743e-01,1.000000000000000056e-01,7.533945037797243338e-02,-7.962576552575413302e-01,9.999999999999992228e-02,-2.775557561562891351e-17,4.440892098500626162e-16,-8.326672684688674053e-17,4.449557262054370667e-16,4.526797389797801335e-16
7.527355290864090609e-02,-7.946212192609369840e-01,1.000000000000000056e-01,7.527355290864030934e-02,-7.946212192609352076e-01,9.999999999999964473e-02,-5.967448757360216405e-16,1.776356839400250465e-15,-3.608224830031758756e-16,1.873912502653538421e-15,1.908334596406464792e-15
7.527355290864090609e-02,-7.929792918683703506e-01,1.000000000000000056e-01,7.527355290864101711e-02,-7.929792918683705727e-01,9.999999999999997780e-02,1.110223024625156540e-16,-2.220446049250313081e-16,-2.775557561562891351e-17,2.482534153247273118e-16,2.498001805406602216e-16
7.527355290864090609e-02,-7.913428558717654493e-01,1.000000000000000056e-01,7.527355290864097548e-02,-7.913428558717654493e-01,9.999999999999992228e-02,6.938893903907228378e-17,0.000000000000000000e+00,-8.326672684688674053e-17,6.938893903907228378e-17,1.083889877282841748e-16
7.527355290864090609e-02,-7.897036741771797930e-01,1.000000000000000056e-01,7.527355290864157222e-02,-7.897036741771816803e-01,9.999999999999992228e-02,6.661338147750939243e-16,-1.887379141862766119e-15,-8.326672684688674053e-17,2.001483021243360535e-15,2.003214325059913271e-15
7.527355290864090609e-02,-7.880535096906705617e-01,1.000000000000000056e-01,7.527355290864082282e-02,-7.880535096906695625e-01,9.999999999999975575e-02,-8.326672684688674053e-17,9.992007221626408864e-16,-2.498001805406602216e-16,1.002664166593250188e-15,1.033312905739729752e-15
7.527355290864090609e-02,-7.863841253182950464e-01,1.000000000000000056e-01,7.527355290864115589e-02,-7.863841253182952684e-01,9.999999999999992228e-02,2.498001805406602216e-16,-2.220446049250313081e-16,-8.326672684688674053e-17,3.342213888644167624e-16,3.444376352465765840e-16
7.514175796997774048e-02,-7.846241329125506203e-01,1.000000000000000056e-01,7.514175796997796253e-02,-7.846241329125512864e-01,9.999999999999986677e-02,2.220446049250313081e-16,-6.661338147750939243e-16,-1.387778780781445676e-16,7.021666937153402450e-16,7.157495128933059646e-16
7.487816809265143703e-02,-7.827790238693987934e-01,1.000000000000000056e-01,7.487816809265089579e-02,-7.827790238693974612e-01,1.000000000000000333e-01,-5.412337245047638135e-16,1.332267629550187849e-15,2.775557561562891351e-17,1.438009381502281843e-15,1.438277217113005036e-15
7.468047568465668862e-02,-7.809558804100941165e-01,1.000000000000000056e-01,7.468047568465610575e-02,-7.809558804100922291e-01,9.999999999999970024e-02,-5.828670879282071837e-16,1.887379141862766119e-15,-3.053113317719180486e-16,1.975331381649301709e-15,1.998786901257080667e-15
7.474637315398829918e-02,-7.792617847558906963e-01,1.000000000000000056e-01,7.474637315398825754e-02,-7.792617847558906963e-01,9.999999999999975575e-02,-4.163336342344337027e-17,0.000000000000000000e+00,-2.498001805406602216e-16,4.163336342344337027e-17,2.532458630424097427e-16
7.527355290864090609e-02,-7.778038191280431946e-01,1.000000000000000056e-01,7.527355290864093385e-02,-7.778038191280426394e-01,9.999999999999997780e-02,2.775557561562891351e-17,5.551115123125782702e-16,-2.775557561562891351e-17,5.558049685633555805e-16,5.564975606931871801e-16
7.645970735660928552e-02,-7.767082856336717800e-01,1.000000000000000056e-01,7.645970735660868878e-02,-7.767082856336698926e-01,9.999999999999992228e-02,-5.967448757360216405e-16,1.887379141862766119e-15,-8.326672684688674053e-17,1.979470755493960697e-15,1.981221294973286448e-15
7.817304155923024411e-02,-7.759037961252737148e-01,1.000000000000000056e-01,7.817304155923086861e-02,-7.759037961252754911e-01,1.000000000000000333e-01,6.245004513516505540e-16,-1.776356839400250465e-15,2.775557561562891351e-17,1.882935058524977907e-15,1.883139614208202302e-15
8.011701690451181190e-02,-7.752008974421683574e-01,1.000000000000000056e-01,8.011701690451117353e-02,-7.752008974421666920e-01,1.000000000000000333e-01,-6.383782391594650107e-16,1.665334536937734811e-15,2.775557561562891351e-17,1.783498218712303113e-15,1.783714177812048904e-15
8.199509478046176914e-02,-7.744101364236747331e-01,1.000000000000000056e-01,8.199509478046117239e-02,-7.744101364236729568e-01,9.999999999999997780e-02,-5.967448757360216405e-16,1.776356839400250465e-15,-2.775557561562891351e-17,1.873912502653538421e-15,1.874118043128287606e-15
8.351073657508803483e-02,-7.733420599091120895e-01,1.000000000000000056e-01,8.351073657508753523e-02,-7.733420599091107572e-01,9.999999999999992228e-02,-4.996003610813204432e-16,1.332267629550187849e-15,-8.326672684688674053e-17,1.422862452080264234e-15,1.425296777986836136e-15
8.466394228839063674e-02,-7.719362625429012637e-01,1.000000000000000056e-01,8.466394228839049796e-02,-7.719362625429007085e-01,9.999999999999986677e-02,-1.387778780781445676e-16,5.551115123125782702e-16,-1.387778780781445676e-16,5.721958498152797061e-16,5.887846720064156690e-16
8.565240432836426776e-02,-7.703190464321625353e-01,1.000000000000000056e-01,8.565240432836478124e-02,-7.703190464321643116e-01,9.999999999999975575e-02,5.134781488891348999e-16,-1.776356839400250465e-15,-2.498001805406602216e-16,1.849081780308989064e-15,1.865878763604111106e-15
8.647612269500898341e-02,-7.685810196102651481e-01,1.000000000000000056e-01,8.647612269500962179e-02,-7.685810196102667025e-01,1.000000000000000888e-01,6.383782391594650107e-16,-1.554312234475219157e-15,8.326672684688674053e-17,1.680301549862907045e-15,1.682363410881097840e-15
8.713509738832475593e-02,-7.668127901105780131e-01,1.000000000000000056e-01,8.713509738832522777e-02,-7.668127901105792343e-01,9.999999999999981126e-02,4.718447854656915297e-16,-1.221245327087672194e-15,-1.942890293094023946e-16,1.309227883336067686e-15,1.323565592411131598e-15
8.762932840831158532e-02,-7.651049659664702629e-01,1.000000000000000056e-01,8.762932840831200165e-02,-7.651049659664708180e-01,9.999999999999992228e-02,4.163336342344337027e-16,-5.551115123125782702e-16,-8.326672684688674053e-17,6.938893903907228378e-16,6.988675367311054642e-16
8.789291828563791653e-02,-7.634630385739036296e-01,1.000000000000000056e-01,8.789291828563827735e-02,-7.634630385739048508e-01,9.999999999999975575e-02,3.608224830031758756e-16,-1.221245327087672194e-15,-2.498001805406602216e-16,1.273433552712528612e-15,1.297703025877723337e-15
8.792586702030369405e-02,-7.618266025772988392e-01,1.000000000000000056e-01,8.792586702030430468e-02,-7.618266025773000605e-01,9.999999999999975575e-02,6.106226635438360972e-16,-1.221245327087672194e-15,-2.498001805406602216e-16,1.365393784286000215e-15,1.388056308787576000e-15
8.782702081630633373e-02,-7.601874208827130719e-01,1.000000000000000056e-01,8.782702081630698598e-02,-7.601874208827142931e-01,9.999999999999992228e-02,6.522560269672794675e-16,-1.221245327087672194e-15,-8.326672684688674053e-17,1.384513659610700911e-15,1.387015292434950001e-15
8.769522587764319588e-02,-7.585372563962038406e-01,1.000000000000000056e-01,8.769522587764358446e-02,-7.585372563962050618e-01,9.999999999999986677e-02,3.885780586188047891e-16,-1.221245327087672194e-15,-1.387778780781445676e-16,1.281574444413368740e-15,1.289066466873336692e-15
8.762932840831158532e-02,-7.568678720238284363e-01,1.000000000000000056e-01,8.762932840831147430e-02,-7.568678720238282143e-01,9.999999999999986677e-02,-1.110223024625156540e-16,2.220446049250313081e-16,-1.387778780781445676e-16,2.482534153247273118e-16,2.844100168142182354e-16
8.776112334697477868e-02,-7.550364914705810504e-01,1.000000000000000056e-01,8.776112334697550033e-02,-7.550364914705830488e-01,9.999999999999986677e-02,7.216449660063517513e-16,-1.998401444325281773e-15,-1.387778780781445676e-16,2.124706989126661081e-15,2.129234390359021334e-15
8.802471322430105438e-02,-7.530486061324235258e-01,1.000000000000000056e-01,8.802471322430031886e-02,-7.530486061324215274e-01,9.999999999999992228e-02,-7.355227538141662080e-16,1.998401444325281773e-15,-8.326672684688674053e-17,2.129460507748323160e-15,2.131087844707378829e-15
8.822240563229583055e-02,-7.511183804518644092e-01,1.000000000000000056e-01,8.822240563229637178e-02,-7.511183804518659635e-01,9.999999999999992228e-02,5.412337245047638135e-16,-1.554312234475219157e-15,-8.326672684688674053e-17,1.645849466622220280e-15,1.647954433405378301e-15
8.815650816296419223e-02,-7.494599788714124688e-01,1.000000000000000056e-01,8.815650816296385917e-02,-7.494599788714115807e-01,9.999999999999975575e-02,-3.330669073875469621e-16,8.881784197001252323e-16,-2.498001805406602216e-16,9.485749680535094235e-16,9.809151850266479694e-16
8.762932840831158532e-02,-7.482875658335764735e-01,1.000000000000000056e-01,8.762932840831197390e-02,-7.482875658335774727e-01,9.999999999999997780e-02,3.885780586188047891e-16,-9.992007221626408864e-16,-2.775557561562891351e-17,1.072098405376252039e-15,1.072457627502390949e-15
8.644317396034320589e-02,-7.476670380898974289e-01,1.000000000000000056e-01,8.644317396034330303e-02,-7.476670380898973178e-01,9.999999999999986677e-02,9.714451465470119729e-17,1.110223024625156540e-16,-1.387778780781445676e-16,1.475229079552588249e-16,2.025396450462183482e-16
8.472983975772224730e-02,-7.474556193453696373e-01,1.000000000000000056e-01,8.472983975772249710e-02,-7.474556193453703035e-01,9.999999999999981126e-02,2.498001805406602216e-16,-6.661338147750939243e-16,-1.942890293094023946e-16,7.114312260401321169e-16,7.374839769750631391e-16
8.278586441244070726e-02,-7.475544644726812571e-01,1.000000000000000056e-01,8.278586441244012439e-02,-7.475544644726798138e-01,9.999999999999992228e-02,-5.828670879282071837e-16,1.443289932012703503e-15,-8.326672684688674053e-17,1.556540995296668364e-15,1.558766569387134664e-15
8.090778653649072227e-02,-7.478647283445207794e-01,1.000000000000000056e-01,8.090778653649040308e-02,-7.478647283445205574e-01,9.999999999999975575e-02,-3.191891195797325054e-16,2.220446049250313081e-16,-2.498001805406602216e-16,3.888257972851055792e-16,4.621532547029658956e-16
7.939214474186445658e-02,-7.482875658335764735e-01,1.000000000000000056e-01,7.939214474186509496e-02,-7.482875658335783609e-01,9.999999999999975575e-02,6.383782391594650107e-16,-1.887379141862766119e-15,-2.498001805406602216e-16,1.992417326106900266e-15,2.008015670150289666e-15
