time_s,x_m,y_m,z_m
1.780994368649416924e+09,1.400127803254195245e-02,-7.967561472762910713e-01,9.997353871168845885e-02
1.780994368661094666e+09,1.400491118426658299e-02,-7.967364257676449180e-01,9.999195625470408411e-02
1.780994368671598434e+09,1.401309795399698077e-02,-7.967438227994033673e-01,9.996842052718529770e-02
1.780994368683451653e+09,1.401047638566292088e-02,-7.967312047717282075e-01,9.997196080269438179e-02
1.780994368695094109e+09,1.400676638642011154e-02,-7.967506045410219784e-01,9.996678445171003347e-02
1.780994368705397844e+09,1.399879651645053250e-02,-7.967480143928781233e-01,9.997219406482965587e-02
1.780994368716319561e+09,1.402773639504594112e-02,-7.967446654424285013e-01,9.998434447016113502e-02
1.780994368726677418e+09,1.400988566956596314e-02,-7.967524829636296602e-01,9.997998574279731709e-02
1.780994368737027884e+09,1.400723409076230774e-02,-7.967635353951150190e-01,9.998778864471624672e-02
1.780994368748015404e+09,1.401098246918305174e-02,-7.967682559331564773e-01,9.999051233450678700e-02
1.780994368758677006e+09,1.401645339941161132e-02,-7.967405311718630534e-01,9.999388683452059556e-02
1.780994368768965960e+09,1.400772260297422980e-02,-7.967546079143692506e-01,9.997357978583842897e-02
1.780994368779343128e+09,1.399526992286901500e-02,-7.967551831000324603e-01,1.000041058672360705e-01
1.780994368790510178e+09,1.400620752999201350e-02,-7.967418531532128867e-01,9.998150612551687244e-02
1.780994368800743818e+09,1.401044562379061276e-02,-7.967618992531694255e-01,1.000031952278782610e-01
1.780994368811033964e+09,1.399083657943394135e-02,-7.967587313560871021e-01,9.999193733178129984e-02
1.780994368821468353e+09,1.401084528219826222e-02,-7.967740932096130102e-01,9.999373422930718514e-02
1.780994368832411289e+09,1.400591451003032478e-02,-7.967538563422232878e-01,9.998163472408055918e-02
1.780994368842628241e+09,1.401416941333937481e-02,-7.967414143695589201e-01,9.998549763468067564e-02
1.780994368852829933e+09,1.400958161430723020e-02,-7.967512100001646891e-01,9.996736909320919073e-02
1.780994368863044024e+09,1.400852575521839213e-02,-7.967515588219170608e-01,9.998714901605559868e-02
1.780994368873807907e+09,1.399994562245911525e-02,-7.967679406559181610e-01,1.000013498321564165e-01
1.780994368884692430e+09,1.401225585587808665e-02,-7.967619220768263899e-01,1.000056917046887595e-01
1.780994368895011187e+09,1.401239448400875935e-02,-7.967741675883086572e-01,9.999754160096246958e-02
1.780994368905302286e+09,1.401024144184598481e-02,-7.967587418539271438e-01,1.000228816265060217e-01
1.780994368915524960e+09,1.401554504077899554e-02,-7.967588372458402901e-01,9.998761248356824449e-02
1.780994368925925493e+09,1.399977797373896764e-02,-7.967560575534149425e-01,9.998862330133900800e-02
1.780994368936100721e+09,1.401303767254491461e-02,-7.967656791985870957e-01,1.000051211577950849e-01
1.780994368946629286e+09,1.400167458016510387e-02,-7.967592285874911529e-01,9.998931242668190889e-02
1.780994368958242655e+09,1.400940092057759330e-02,-7.967442946886326149e-01,9.995638756414776394e-02
1.780994368968766928e+09,1.400640849915622821e-02,-7.967666990309610897e-01,9.999827514830295083e-02
1.780994368979037762e+09,1.402057485164934225e-02,-7.967577863762081991e-01,9.999676886586678082e-02
1.780994368989320755e+09,1.399949892909906936e-02,-7.967728898316629449e-01,9.999711079388046153e-02
1.780994368999500275e+09,1.400084372483840697e-02,-7.967479173336056153e-01,9.998477025467078505e-02
1.780994369009886026e+09,1.403651449624615175e-02,-7.967559902760373847e-01,1.000056426549193467e-01
1.780994369020052195e+09,1.401094935033644039e-02,-7.967617056407080289e-01,9.997648673722053791e-02
1.780994369030276299e+09,1.401170269565476210e-02,-7.967427505738470250e-01,9.997513567087557007e-02
1.780994369041439056e+09,1.401731924403416298e-02,-7.967388592023094684e-01,9.997670434695099528e-02
1.780994369053445339e+09,1.399621138464627462e-02,-7.967591249743459780e-01,9.999322822285172663e-02
1.780994369068369150e+09,1.401809573731233050e-02,-7.967583350686929800e-01,9.999556608070470087e-02
1.780994369080944300e+09,1.401727244595887649e-02,-7.967487296250892470e-01,9.999946186619268484e-02
1.780994369091254711e+09,1.402284173130669692e-02,-7.967446398618521775e-01,9.999889372801556986e-02
1.780994369101532221e+09,1.400931830228700596e-02,-7.967612885978097026e-01,1.000025613845010874e-01
1.780994369112069130e+09,1.401317169958631904e-02,-7.967710099073165297e-01,1.000128749887851942e-01
1.780994369122577429e+09,1.400102162578692640e-02,-7.967571099122469080e-01,9.999334668398163206e-02
1.780994369132782698e+09,1.400285284309417226e-02,-7.967579710673157178e-01,9.998004790753584059e-02
1.780994369143024683e+09,1.401172914716426049e-02,-7.967713820354144216e-01,9.999882057884068587e-02
1.780994369153225183e+09,1.400847740774493859e-02,-7.967401755633867211e-01,9.996710565798883064e-02
1.780994369164818525e+09,1.400120979735687381e-02,-7.967558615973616698e-01,9.997665413910467036e-02
1.780994369175079107e+09,1.399750730045562497e-02,-7.967515413987570350e-01,9.999654473396446530e-02
1.780994369187229872e+09,1.401094073958175819e-02,-7.967406751426855394e-01,9.997093264431722304e-02
1.780994369200176716e+09,1.400486120808141013e-02,-7.967426281677311151e-01,9.997309323893732724e-02
1.780994369210482121e+09,1.402173808459940621e-02,-7.967701807418537951e-01,9.997876568780045270e-02
1.780994369220994234e+09,1.400242666453820756e-02,-7.967721375094274361e-01,9.999573364329450431e-02
1.780994369232433558e+09,1.401304436886283492e-02,-7.967768884486540193e-01,9.998851337526826200e-02
1.780994369242667675e+09,1.400484637256151771e-02,-7.967425660561471279e-01,9.997463487732560772e-02
1.780994369252860069e+09,1.401543813260698081e-02,-7.967407971466441419e-01,9.997469627029914596e-02
1.780994369263020277e+09,1.400217657550142762e-02,-7.967487282471278354e-01,9.998995249747377745e-02
1.780994369273226261e+09,1.401170405830517995e-02,-7.967365657358465025e-01,9.995268522612005269e-02
1.780994369283410072e+09,1.400741281534660654e-02,-7.967533109325020124e-01,1.000002674725757879e-01
1.780994369293879032e+09,1.400604157269234179e-02,-7.967411583429970801e-01,9.997638247315066007e-02
1.780994369304052591e+09,1.401451918214233379e-02,-7.967545423033334240e-01,9.999417712820107829e-02
1.780994369314213991e+09,1.399522137123833908e-02,-7.967433921491774429e-01,9.997966416468417883e-02
1.780994369324376822e+09,1.400599066650655769e-02,-7.967361760705609086e-01,9.998638454082398042e-02
1.780994369334540606e+09,1.400845846820457895e-02,-7.967465078155663294e-01,9.999095401688967710e-02
1.780994369344707012e+09,1.400752146567513234e-02,-7.967537658167305192e-01,9.997781895490082116e-02
1.780994369354909182e+09,1.399596321486427757e-02,-7.967580858943615896e-01,9.999145133216547077e-02
1.780994369365211248e+09,1.401190352460644946e-02,-7.967721120980778560e-01,9.999094592057150566e-02
1.780994369375508070e+09,1.401675881174652138e-02,-7.967427482949058781e-01,9.997010649082210820e-02
1.780994369385989666e+09,1.400614355183808779e-02,-7.967479969315276467e-01,9.996382755800992115e-02
1.780994369396202564e+09,1.399765625075525925e-02,-7.967715866455943319e-01,9.999510405249600886e-02
1.780994369406494617e+09,1.402448413280668084e-02,-7.967531578635035361e-01,9.999241597932334580e-02
1.780994369416762114e+09,1.400585390771909647e-02,-7.967420150586024263e-01,9.999335928987074240e-02
1.780994369427012920e+09,1.401710951428530340e-02,-7.967306759395961224e-01,9.996532499357491108e-02
1.780994369437173367e+09,1.399770608902999383e-02,-7.967542014815091056e-01,9.998041650728006768e-02
1.780994369447989941e+09,1.398444846665214403e-02,-7.967448086203334778e-01,9.997378509190096851e-02
1.780994369459572315e+09,1.401213941234186189e-02,-7.967445789671518952e-01,9.997118005679161978e-02
1.780994369473406553e+09,1.401261653347372037e-02,-7.967465765209635897e-01,9.997175437148725363e-02
1.780994369483968496e+09,1.399833618709462116e-02,-7.967744335201629724e-01,1.000089763803405085e-01
1.780994369495435238e+09,1.400522852025983499e-02,-7.967553470390154047e-01,9.997133216077486173e-02
1.780994369507241488e+09,1.401011724328854111e-02,-7.967598640194857307e-01,9.999381434482390585e-02
1.780994369519510984e+09,1.399949176366732488e-02,-7.967486687389528921e-01,9.997679315838869929e-02
1.780994369531208038e+09,1.400219797895758088e-02,-7.967599987981508480e-01,9.999065759464809133e-02
1.780994369541687012e+09,1.400779651926048822e-02,-7.967613290128063852e-01,9.998681298294004316e-02
1.780994369552607536e+09,1.399531322741911360e-02,-7.967489523581396949e-01,9.998708700799679994e-02
1.780994369562912941e+09,1.399431822378268027e-02,-7.967396109591984299e-01,9.997673031423870427e-02
1.780994369573143005e+09,1.401042580531899201e-02,-7.967419663523351847e-01,9.996752714019951913e-02
1.780994369583373070e+09,1.402365806468005953e-02,-7.967606268704886530e-01,1.000004029326168054e-01
1.780994369593877792e+09,1.399618160520847351e-02,-7.967410007068679301e-01,9.996534844048698965e-02
1.780994369604383945e+09,1.401611899158706522e-02,-7.967705260092992070e-01,9.999401367428756293e-02
1.780994369614706993e+09,1.400064230839066955e-02,-7.967470740672606411e-01,9.998424281494611154e-02
1.780994369624956369e+09,1.400928578105589684e-02,-7.967675640763521860e-01,1.000132652903154007e-01
1.780994369635153770e+09,1.401471792856453201e-02,-7.967455604942913494e-01,9.995368453426589639e-02
1.780994369645331621e+09,1.401866084065686059e-02,-7.967808265473770302e-01,1.000103625555829323e-01
1.780994369655552149e+09,1.401600843970859760e-02,-7.967543657153719483e-01,9.998803434620423536e-02
1.780994369665909290e+09,1.399424341064807974e-02,-7.967380610083281134e-01,9.998058166555878756e-02
1.780994369676072598e+09,1.401748504697689079e-02,-7.967571449487022006e-01,9.999196559115935967e-02
1.780994369686287642e+09,1.401079483024992960e-02,-7.967453612652602990e-01,9.999098592742367009e-02
1.780994369696453333e+09,1.400309242109917807e-02,-7.967464037418783285e-01,9.997440510387384238e-02
1.780994369706787825e+09,1.401112569597195295e-02,-7.967752672125342217e-01,1.000129583384911647e-01
1.780994369717054367e+09,1.399477924417888257e-02,-7.967467165851435107e-01,9.997951603371846296e-02
1.780994369727292061e+09,1.399004594067366700e-02,-7.967333104316695058e-01,9.997191035599323206e-02
1.780994369737632990e+09,1.401559306420291882e-02,-7.967699661045509751e-01,1.000079860306253288e-01
1.780994369748188734e+09,1.400653561040858704e-02,-7.967496383555596751e-01,9.998656343270051483e-02
1.780994369758474350e+09,1.401594213987822010e-02,-7.967395053217674050e-01,9.996525153512170192e-02
1.780994369768716574e+09,1.400113477641306767e-02,-7.967270267883612700e-01,9.999523069674232101e-02
1.780994369778979778e+09,1.399655537232316616e-02,-7.967653351229136982e-01,1.000021581383268576e-01
1.780994369789324522e+09,1.401014701044726862e-02,-7.967647581342309770e-01,9.999783921647120710e-02
1.780994369800219297e+09,1.401519982632854280e-02,-7.967428089330639285e-01,9.999455703443049792e-02
1.780994369810459852e+09,1.401831543165523407e-02,-7.967321019769983970e-01,9.996230977875752988e-02
1.780994369820633650e+09,1.402561379828594357e-02,-7.967441715819787440e-01,9.999864495446247892e-02
1.780994369830916405e+09,1.401166522025826776e-02,-7.967425936763293803e-01,9.998129114653436789e-02
1.780994369841099977e+09,1.401438782513314205e-02,-7.967539923534846524e-01,1.000030269171781616e-01
1.780994369851330519e+09,1.401186474917825130e-02,-7.967434290401987917e-01,9.996932602041780358e-02
1.780994369863217592e+09,1.400805405059555447e-02,-7.967607650829380272e-01,9.996675258595044689e-02
1.780994369874214888e+09,1.399688816740013962e-02,-7.967398481046885639e-01,1.000099202092996631e-01
1.780994369887573242e+09,1.401001897686956175e-02,-7.967468823311766313e-01,1.000030938790151813e-01
1.780994369898390055e+09,1.402064542721691981e-02,-7.967703757814154075e-01,1.000258045176117272e-01
1.780994369908646107e+09,1.400403126503827964e-02,-7.967761681126143136e-01,9.999672098286749300e-02
1.780994369918814659e+09,1.401865748758416609e-02,-7.967606869029468797e-01,9.998483293350035606e-02
1.780994369929056406e+09,1.401293678501945063e-02,-7.967442624523337624e-01,9.999080759559320075e-02
1.780994369939309835e+09,1.401737206023311900e-02,-7.967454915500435941e-01,9.998910911470909602e-02
1.780994369949489832e+09,1.402021631859538819e-02,-7.967400599805299910e-01,9.997128594403964508e-02
1.780994369959965467e+09,1.400922166974960005e-02,-7.967544723938206896e-01,9.997445367798585281e-02
1.780994369970511675e+09,1.400891915325811615e-02,-7.967484365282762049e-01,1.000022426678023879e-01
1.780994369980707645e+09,1.400899377673973586e-02,-7.967487489483480179e-01,9.997198405550633549e-02
1.780994369991010904e+09,1.400669217983712030e-02,-7.967502938617567754e-01,9.997241481989738165e-02
1.780994370001440287e+09,1.400131935522740470e-02,-7.967408077052309245e-01,9.996067787333418053e-02
1.780994370013040066e+09,1.402191554420833750e-02,-7.967535850619980042e-01,9.998971821817864702e-02
1.780994370023384094e+09,1.399427241517197003e-02,-7.967332286287494014e-01,9.997132220531446123e-02
1.780994370034800529e+09,1.401430367663188820e-02,-7.967600516845215752e-01,9.998945171322271008e-02
1.780994370046144009e+09,1.401345454638100452e-02,-7.967500850133892865e-01,9.996339499679107732e-02
1.780994370056828499e+09,1.400070042118250167e-02,-7.967425481516916541e-01,9.995746709872804781e-02
1.780994370067717791e+09,1.400403083188713795e-02,-7.967391516477840829e-01,9.997981773635772340e-02
1.780994370079275370e+09,1.400773835764030500e-02,-7.967434929871335392e-01,9.996795069670100231e-02
1.780994370089591980e+09,1.398212980559468410e-02,-7.967512821765764253e-01,9.999716580961615087e-02
1.780994370100572824e+09,1.400322571296543084e-02,-7.967421925065231170e-01,9.998639342390969187e-02
1.780994370110815525e+09,1.400770154015706058e-02,-7.967545197310801353e-01,9.999324440889112431e-02
1.780994370121075630e+09,1.399100283262052873e-02,-7.967722515686049833e-01,1.000009370672922948e-01
1.780994370131339788e+09,1.402082692588025106e-02,-7.967588417305140336e-01,9.999951910929955057e-02
1.780994370141584158e+09,1.400548392233486733e-02,-7.967340545258805307e-01,9.996523715577748659e-02
1.780994370152089834e+09,1.401742367525368738e-02,-7.967521188692939793e-01,9.998882627440985882e-02
1.780994370162325621e+09,1.399936790475063940e-02,-7.967438186397374222e-01,9.999843932689689296e-02
1.780994370172502041e+09,1.399382841987773310e-02,-7.967427355102024711e-01,9.997340933711135191e-02
